date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-01-31,BKK,departure,08:00,HKG Hong Kong,TG600,,2h 45m,08:00 | Thai Airways | HKG Hong Kong | TG600 | 2h 45m | DETAILS,2026-01-28T09:49:48.228298
2026-01-31,BKK,departure,08:00,ICN Seoul,TG652,,5h 25m,08:00 | Thai Airways | ICN Seoul | TG652 | 5h 25m | DETAILS,2026-01-28T09:49:48.296255
2026-01-31,BKK,departure,08:00,SIN Singapore,TG403,,2h 15m,08:00 | Thai Airways | SIN Singapore | TG403 | 2h 15m | DETAILS,2026-01-28T09:49:48.394322
2026-01-31,BKK,departure,08:05,NRT Tokyo,JL708,,5h 55m,08:05 | JAL | NRT Tokyo | JL708 | 5h 55m | DETAILS,2026-01-28T09:49:48.462057
2026-01-31,BKK,departure,08:05,CNX Chiang Mai,PG215,,1h 20m,08:05 | Bangkok Airways | CNX Chiang Mai | PG215 | 1h 20m | DETAILS,2026-01-28T09:49:48.522166
2026-01-31,BKK,departure,08:05,USM Koh Samui,PG123,,1h 15m,08:05 | Bangkok Airways | USM Koh Samui | PG123 | 1h 15m | DETAILS,2026-01-28T09:49:48.606506
2026-01-31,BKK,departure,08:05,HEL Helsinki,AY142,,12h 35m,08:05 | Finnair | HEL Helsinki | AY142 | 12h 35m | DETAILS,2026-01-28T09:49:48.670840
2026-01-31,BKK,departure,08:10,TDX Trat,PG301,,1h 0m,08:10 | Bangkok Airways | TDX Trat | PG301 | 1h 0m | DETAILS,2026-01-28T09:49:48.728281
2026-01-31,BKK,departure,08:10,CEI Chiang Rai,TG130,,1h 30m,08:10 | Thai Airways | CEI Chiang Rai | TG130 | 1h 30m | DETAILS,2026-01-28T09:49:48.803213
2026-01-31,BKK,departure,08:10,SHJ Sharjah,G9822,,7h 0m,08:10 | Air Arabia | SHJ Sharjah | G9822 | 7h 0m | DETAILS,2026-01-28T09:49:48.862451
2026-01-31,BKK,departure,08:15,YVR Vancouver,AC66,,13h 20m,08:15 | Air Canada | YVR Vancouver | AC66 | 13h 20m | DETAILS,2026-01-28T09:49:48.921568
2026-01-31,BKK,departure,08:15,KIX Osaka,TG672,,5h 30m,08:15 | Thai Airways | KIX Osaka | TG672 | 5h 30m | DETAILS,2026-01-28T09:49:48.981150
2026-01-31,BKK,departure,08:15,DOH Doha,QR831,,7h 25m,08:15 | Qatar Airways | DOH Doha | QR831 | 7h 25m | DETAILS,2026-01-28T09:49:49.054018
2026-01-31,BKK,departure,08:15,TPE Taipei,TG632,,3h 30m,08:15 | Thai Airways | TPE Taipei | TG632 | 3h 30m | DETAILS,2026-01-28T09:49:49.135206
2026-01-31,BKK,departure,08:20,CGK Jakarta,TG433,,3h 35m,08:20 | Thai Airways | CGK Jakarta | TG433 | 3h 35m | DETAILS,2026-01-28T09:49:49.212381
2026-01-31,BKK,departure,08:20,MEL Melbourne,TG461,,9h 0m,08:20 | Thai Airways | MEL Melbourne | TG461 | 9h 0m | DETAILS,2026-01-28T09:49:49.296654
2026-01-31,BKK,departure,08:20,CAN Guangzhou,CZ362,,2h 50m,08:20 | China Southern | CAN Guangzhou | CZ362 | 2h 50m | DETAILS,2026-01-28T09:49:49.404625
2026-01-31,BKK,departure,08:30,HDY Hat Yai,FD4202,,1h 30m,08:30 | Thai AirAsia | HDY Hat Yai | FD4202 | 1h 30m | DETAILS,2026-01-28T09:49:49.466971
2026-01-31,BKK,departure,08:30,MCT Muscat,OV464,,6h 30m,08:30 | Salam Air | MCT Muscat | OV464 | 6h 30m | DETAILS,2026-01-28T09:49:49.529323
2026-01-31,BKK,departure,08:30,KTI Phnom Penh,VZ720,,1h 15m,08:30 | Vietjet Thailand | KTI Phnom Penh | VZ720 | 1h 15m | DETAILS,2026-01-28T09:49:49.592405
2026-01-31,BKK,departure,08:30,UTH Udon Thani,VZ200,,1h 10m,08:30 | Vietjet Thailand | UTH Udon Thani | VZ200 | 1h 10m | DETAILS,2026-01-28T09:49:49.658481
2026-01-31,BKK,departure,08:30,SYD Sydney,TG475,,9h 20m,08:30 | Thai Airways | SYD Sydney | TG475 | 9h 20m | DETAILS,2026-01-28T09:49:49.720532
2026-01-31,BKK,departure,08:40,CNX Chiang Mai,VZ2114,,1h 25m,08:40 | Vietjet Thailand | CNX Chiang Mai | VZ2114 | 1h 25m | DETAILS,2026-01-28T09:49:49.786062
2026-01-31,BKK,departure,08:45,KUL Kuala Lumpur,TG415,,2h 10m,08:45 | Thai Airways | KUL Kuala Lumpur | TG415 | 2h 10m | DETAILS,2026-01-28T09:49:49.849446
2026-01-31,BKK,departure,08:50,CNX Chiang Mai,FD4100,,1h 20m,08:50 | Thai AirAsia | CNX Chiang Mai | FD4100 | 1h 20m | DETAILS,2026-01-28T09:49:49.906480
2026-01-31,BKK,departure,08:50,DPS Denpasar,TG431,,4h 25m,08:50 | Thai Airways | DPS Denpasar | TG431 | 4h 25m | DETAILS,2026-01-28T09:49:49.967070
2026-01-31,BKK,departure,08:50,DEL Delhi,AI2333,,4h 45m,08:50 | Air India | DEL Delhi | AI2333 | 4h 45m | DETAILS,2026-01-28T09:49:50.025782
2026-01-31,BKK,departure,08:55,AUH Abu Dhabi,EY403,,6h 50m,08:55 | Etihad | AUH Abu Dhabi | EY403 | 6h 50m | DETAILS,2026-01-28T09:49:50.106101
2026-01-31,BKK,departure,09:00,USM Koh Samui,PG119,,1h 35m,09:00 | Bangkok Airways | USM Koh Samui | PG119 | 1h 35m | DETAILS,2026-01-28T09:49:50.194247
2026-01-31,BKK,departure,09:00,RUN Saint Denis de la Reunion,UU888,,7h 45m,09:00 | Air Austral | RUN Saint Denis de la Reunion | UU888 | 7h 45m | DETAILS,2026-01-28T09:49:50.273821
2026-01-31,BKK,departure,09:00,CMB Colombo,UL403,,3h 30m,09:00 | SriLankan Airlines | CMB Colombo | UL403 | 3h 30m | DETAILS,2026-01-28T09:49:50.364011
2026-01-31,BKK,departure,09:00,MCT Muscat,WY818,,6h 10m,09:00 | Oman Air | MCT Muscat | WY818 | 6h 10m | DETAILS,2026-01-28T09:49:50.464180
2026-01-31,BKK,departure,09:05,DOH Doha,QR839,,7h 25m,09:05 | Qatar Airways | DOH Doha | QR839 | 7h 25m | DETAILS,2026-01-28T09:49:50.528516
2026-01-31,BKK,departure,09:05,TPE Taipei,VZ568,,3h 40m,09:05 | Vietjet Thailand | TPE Taipei | VZ568 | 3h 40m | DETAILS,2026-01-28T09:49:50.596280
2026-01-31,BKK,departure,09:10,HND Tokyo,NH848,,5h 45m,09:10 | ANA | HND Tokyo | NH848 | 5h 45m | DETAILS,2026-01-28T09:49:50.662149
2026-01-31,BKK,departure,09:15,JJN Jinjiang,AQ1436,,2h 45m,09:15 | 9 Air | JJN Jinjiang | AQ1436 | 2h 45m | DETAILS,2026-01-28T09:49:50.721658
