date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-04-04,BKK,departure,17:00,CEI Chiang Rai,TG136,TG,1h 20m,17:00 | Thai Airways | CEI Chiang Rai | TG136 | 1h 20m | DETAILS,2026-01-30T15:03:44.291781
2026-04-04,BKK,departure,17:00,KTI Phnom Penh,VZ722,VZ,1h 15m,17:00 | Vietjet Thailand | KTI Phnom Penh | VZ722 | 1h 15m | DETAILS,2026-01-30T15:03:44.349339
2026-04-04,BKK,departure,17:00,IKT Irkutsk,S76310,S7,6h 25m,17:00 | S7 Airlines | IKT Irkutsk | S76310 | 6h 25m | DETAILS,2026-01-30T15:03:44.504065
2026-04-04,BKK,departure,17:05,HKT Phuket,TG217,TG,1h 30m,17:05 | Thai Airways | HKT Phuket | TG217 | 1h 30m | DETAILS,2026-01-30T15:03:44.605449
2026-04-04,BKK,departure,17:05,RGN Yangon,TG303,TG,1h 25m,17:05 | Thai Airways | RGN Yangon | TG303 | 1h 25m | DETAILS,2026-01-30T15:03:44.699706
2026-04-04,BKK,departure,17:05,URT Surat Thani,VZ352,VZ,1h 15m,17:05 | Vietjet Thailand | URT Surat Thani | VZ352 | 1h 15m | DETAILS,2026-01-30T15:03:44.797111
2026-04-04,BKK,departure,17:05,BLR Bengaluru,IX883,IX,3h 55m,17:05 | Air India Express | BLR Bengaluru | IX883 | 3h 55m | DETAILS,2026-01-30T15:03:44.896233
2026-04-04,BKK,departure,17:10,LYA Luoyang,UQ2642,UQ,4h 10m,17:10 | Urumqi Airlines | LYA Luoyang | UQ2642 | 4h 10m | DETAILS,2026-01-30T15:03:44.994314
2026-04-04,BKK,departure,17:10,DEL Delhi,6E1054,6E,4h 20m,17:10 | IndiGo | DEL Delhi | 6E1054 | 4h 20m | DETAILS,2026-01-30T15:03:45.089801
2026-04-04,BKK,departure,17:10,KTI Phnom Penh,K6725,K6,1h 10m,17:10 | Air Cambodia | KTI Phnom Penh | K6725 | 1h 10m | DETAILS,2026-01-30T15:03:45.180134
