date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-04-06,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1220,"฿1,220",2026-01-28T13:10:02.818516,airpaz.com
2026-04-07,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:10:30.883541,airpaz.com
2026-04-07,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:10:30.911039,airpaz.com
2026-04-07,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1220,"฿1,220",2026-01-28T13:10:30.951743,airpaz.com
2026-04-08,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:10:59.158324,airpaz.com
2026-04-08,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1367,"฿1,367",2026-01-28T13:10:59.185969,airpaz.com
2026-04-09,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1369,"฿1,369",2026-01-28T13:11:27.650054,airpaz.com
2026-04-09,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,1785,"฿1,785",2026-01-28T13:11:27.678420,airpaz.com
2026-04-09,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1904,"฿1,904",2026-01-28T13:11:27.707943,airpaz.com
2026-04-10,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1904,"฿1,904",2026-01-28T13:11:55.957056,airpaz.com
2026-04-10,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1907,"฿1,907",2026-01-28T13:11:55.980851,airpaz.com
2026-04-11,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,2102,"฿2,102",2026-01-28T13:12:24.016321,airpaz.com
2026-04-11,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,2226,"฿2,226",2026-01-28T13:12:24.063735,airpaz.com
2026-04-11,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,2520,"฿2,520",2026-01-28T13:12:24.090902,airpaz.com
2026-04-12,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,2222,"฿2,222",2026-01-28T13:12:52.281930,airpaz.com
2026-04-12,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,2226,"฿2,226",2026-01-28T13:12:52.308190,airpaz.com
2026-04-13,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,1785,"฿1,785",2026-01-28T13:13:20.509185,airpaz.com
2026-04-14,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:14:29.163309,airpaz.com
